Reserve,Block,Treatment,Veg_Complexity,CoverLitter,CoverBare,CoverGrass,CoverForb,TotalSpecies,RichnessNoTrees,RichnessForbs,RichnessGrass,RichnessShrub,RooDung,RabbitDung,GoatDung,Orufus_perkmAS,Mgiganteus_perkmAS,Mfuliginosis_perkmAS,RooperkmsqSL,RabbitperkmsqSL,TotalkmAS,TotalkmSL,PBray1,Carbon,Nitrogen,BulkDensity_lessthan2mm,,,,
Boolcoomatta,BOOL1,Kangaroo_Exclusion,8.25,6.88,69.27,2.29,4.13,11,10,6,1,3,43,0,3,6.20,0.09,0.03,7.30,1.03,32.40,32.20,10.50,0.36,0.05,1.6123,,,,
Boolcoomatta,BOOL1,Exclude_All,13.75,8.43,58.43,12.05,2.41,21,20,11,6,3,43,0,3,6.20,0.09,0.03,7.30,1.03,32.40,32.20,12.87,0.42,0.05,1.7738,,,,
Boolcoomatta,BOOL1,Rabbit_Exclusion,5.00,10.58,66.14,0.53,2.65,11,10,7,1,2,43,0,3,6.20,0.09,0.03,7.30,1.03,32.40,32.20,13.51,0.48,0.04,1.6699,,,,
Boolcoomatta,BOOL1,Control,4.25,11.11,68.52,1.23,1.23,12,11,8,1,2,43,0,3,6.20,0.09,0.03,7.30,1.03,32.40,32.20,12.99,0.49,0.06,1.7010,,,,
Boolcoomatta,BOOL2,Kangaroo_Exclusion,15.00,5.42,40.42,26.25,4.58,16,16,8,4,4,21,3,0,6.20,0.09,0.03,7.30,1.03,32.40,32.20,13.18,0.33,0.04,1.6426,,,,
Boolcoomatta,BOOL2,Exclude_All,16.25,17.67,34.88,20.47,9.77,14,14,7,3,4,21,3,0,6.20,0.09,0.03,7.30,1.03,32.40,32.20,18.05,0.24,0.03,1.6771,,,,
Boolcoomatta,BOOL2,Rabbit_Exclusion,10.75,5.56,67.68,4.55,4.04,12,12,5,1,6,21,3,0,6.20,0.09,0.03,7.30,1.03,32.40,32.20,14.51,0.45,0.05,1.2211,,,,
Boolcoomatta,BOOL2,Control,7.25,3.95,73.45,2.82,0.00,10,10,5,1,4,21,3,0,6.20,0.09,0.03,7.30,1.03,32.40,32.20,11.98,0.39,0.04,1.3195,,,,
Boolcoomatta,BOOL3,Kangaroo_Exclusion,11.50,29.79,37.23,12.06,8.51,19,18,9,5,4,75,11,0,6.20,0.09,0.03,7.30,1.03,32.40,32.20,44.84,0.46,0.04,1.5549,,,,
Boolcoomatta,BOOL3,Exclude_All,13.50,25.45,33.64,20.91,5.45,18,15,7,3,5,75,11,0,6.20,0.09,0.03,7.30,1.03,32.40,32.20,31.12,0.27,NA,1.7961,,,,
Boolcoomatta,BOOL3,Rabbit_Exclusion,14.25,11.68,78.04,0.47,1.87,9,9,3,1,5,75,11,0,6.20,0.09,0.03,7.30,1.03,32.40,32.20,12.91,0.21,0.02,1.7005,,,,
